method,coin,n,wr,pf,usd
M3_EMAxF,NEO,37,29.7,0.9,-168.0
M3_EMAxF,WLD,40,37.5,0.86,-356.0
M3_EMAxF,IOTA,39,30.8,0.77,-418.0
M3_EMAxF,INJ,42,35.7,0.7,-592.0
M3_EMAxF,BTC,40,25.0,0.68,-290.0
M3_EMAxF,LTC,54,22.2,0.54,-1022.0
M3_EMAxF,APT,43,20.9,0.5,-1179.0
M4_GoldenPocket,ZEC,74,41.9,1.56,4145.0
M4_GoldenPocket,SOL,60,38.3,1.28,1093.0
M4_GoldenPocket,TRX,10,30.0,1.23,106.0
M4_GoldenPocket,ADA,52,42.3,1.11,416.0
M4_GoldenPocket,AVAX,64,40.6,1.09,357.0
M4_GoldenPocket,DOGE,55,36.4,1.08,322.0
M4_GoldenPocket,WLD,85,35.3,1.07,457.0
M4_GoldenPocket,LINK,66,40.9,0.99,-52.0
M4_GoldenPocket,TON,36,52.8,0.97,-85.0
M4_GoldenPocket,WIF,84,36.9,0.96,-283.0
M4_GoldenPocket,XLM,55,32.7,0.95,-206.0
M4_GoldenPocket,SUI,61,34.4,0.89,-563.0
M4_GoldenPocket,NEAR,70,35.7,0.84,-931.0
M4_GoldenPocket,OP,67,35.8,0.84,-933.0
M4_GoldenPocket,APT,60,31.7,0.8,-967.0
M4_GoldenPocket,INJ,78,30.8,0.77,-1602.0
M4_GoldenPocket,NEO,52,36.5,0.77,-926.0
M4_GoldenPocket,1000PEPE,63,33.3,0.74,-1319.0
M4_GoldenPocket,LTC,42,35.7,0.74,-891.0
M4_GoldenPocket,IOTA,66,33.3,0.73,-1525.0
M4_GoldenPocket,XRP,45,31.1,0.69,-1002.0
M4_GoldenPocket,ARB,68,33.8,0.62,-2324.0
M4_GoldenPocket,DOT,60,31.7,0.61,-2008.0
M4_GoldenPocket,ETC,41,29.3,0.56,-1693.0
M4_GoldenPocket,ETH,33,24.2,0.53,-1113.0
M4_GoldenPocket,BNB,20,40.0,0.4,-862.0
